	masa_A
t	x
9,916667E-1	4,889523E1
1,025000E0	4,865247E1
1,058333E0	4,860384E1
1,091667E0	4,860328E1
1,125000E0	4,859927E1
1,158333E0	4,853804E1
1,191667E0	4,853844E1
1,225000E0	4,852791E1
1,258333E0	4,852791E1
1,291667E0	4,852791E1
1,325000E0	4,852791E1
1,358333E0	4,862258E1
1,391667E0	4,861134E1
1,425000E0	4,861134E1
1,458333E0	4,856989E1
1,491667E0	4,858525E1
1,525000E0	4,858525E1
1,558333E0	4,845896E1
1,591667E0	4,838149E1
1,625000E0	4,765384E1
1,658333E0	4,627215E1
1,691667E0	4,445067E1
1,725000E0	4,171932E1
1,758333E0	3,864704E1
1,791667E0	3,504715E1
1,825000E0	3,074913E1
1,858333E0	2,663217E1
1,891667E0	2,198165E1
1,925000E0	1,677566E1
1,958333E0	1,160215E1
1,991667E0	6,877433E0
2,025000E0	1,341616E0
2,058333E0	-4,080944E0
2,091667E0	-9,526385E0
2,125000E0	-1,404736E1
2,158333E0	-2,027475E1
2,191667E0	-2,502369E1
2,225000E0	-2,780019E1
2,258333E0	-3,151010E1
2,291667E0	-3,523974E1
2,325000E0	-3,864536E1
2,358333E0	-4,057774E1
2,391667E0	-4,277554E1
2,425000E0	-4,295014E1
2,458333E0	-4,365423E1
2,491667E0	-4,386000E1
2,525000E0	-4,322350E1
2,558333E0	-4,228426E1
2,591667E0	-4,049024E1
2,625000E0	-3,850058E1
2,658333E0	-3,592113E1
2,691667E0	-3,311682E1
2,725000E0	-2,897268E1
2,758333E0	-2,506846E1
2,791667E0	-2,122222E1
2,825000E0	-1,673274E1
2,858333E0	-1,209997E1
2,891667E0	-7,706727E0
2,925000E0	-2,258938E0
2,958333E0	2,423793E0
2,991667E0	7,037220E0
3,025000E0	1,153305E1
3,058333E0	1,612963E1
3,091667E0	2,044141E1
3,125000E0	2,432805E1
3,158333E0	2,793926E1
3,191667E0	3,136717E1
3,225000E0	3,429956E1
3,258333E0	3,691492E1
3,291667E0	3,875402E1
3,325000E0	3,992075E1
3,358333E0	4,068515E1
3,391667E0	4,102636E1
3,425000E0	4,068278E1
3,458333E0	4,001264E1
3,491667E0	3,872443E1
3,525000E0	3,687632E1
3,558333E0	3,423190E1
3,591667E0	3,158807E1
3,625000E0	2,864348E1
3,658333E0	2,517955E1
3,691667E0	2,139946E1
3,725000E0	1,719718E1
3,758333E0	1,314822E1
3,791667E0	8,754779E0
3,825000E0	4,217422E0
3,858333E0	4,287809E-1
3,891667E0	-3,960179E0
