x	RungeKutta4	SoluciónExacta	Error
1	0.315	0.316228	0.00122777
1.01	0.314684	0.31591	0.00122653
1.02	0.314366	0.315591	0.00122529
1.03	0.314045	0.315269	0.00122404
1.04	0.313723	0.314945	0.00122279
1.05	0.313398	0.314619	0.00122152
1.06	0.313071	0.314291	0.00122025
1.07	0.312742	0.313961	0.00121897
1.08	0.312411	0.313629	0.00121768
1.09	0.312079	0.313295	0.00121638
1.1	0.311744	0.312959	0.00121507
1.11	0.311407	0.312621	0.00121376
1.12	0.311068	0.312281	0.00121244
1.13	0.310727	0.311938	0.00121111
1.14	0.310385	0.311595	0.00120978
1.15	0.31004	0.311249	0.00120843
1.16	0.309694	0.310901	0.00120708
1.17	0.309346	0.310552	0.00120573
1.18	0.308996	0.3102	0.00120436
1.19	0.308644	0.309847	0.00120299
1.2	0.308291	0.309492	0.00120162
1.21	0.307935	0.309136	0.00120023
1.22	0.307578	0.308777	0.00119884
1.23	0.30722	0.308417	0.00119744
1.24	0.30686	0.308056	0.00119604
1.25	0.306498	0.307692	0.00119463
1.26	0.306134	0.307327	0.00119321
1.27	0.305769	0.306961	0.00119179
1.28	0.305402	0.306593	0.00119036
1.29	0.305034	0.306223	0.00118892
1.3	0.304664	0.305852	0.00118748
1.31	0.304293	0.305479	0.00118603
1.32	0.30392	0.305105	0.00118458
1.33	0.303546	0.304729	0.00118312
1.34	0.303171	0.304352	0.00118166
1.35	0.302794	0.303974	0.00118019
1.36	0.302415	0.303594	0.00117871
1.37	0.302035	0.303213	0.00117723
1.38	0.301654	0.30283	0.00117575
1.39	0.301272	0.302446	0.00117426
1.4	0.300888	0.302061	0.00117276
1.41	0.300503	0.301675	0.00117126
1.42	0.300117	0.301287	0.00116976
1.43	0.29973	0.300898	0.00116825
1.44	0.299341	0.300508	0.00116673
1.45	0.298951	0.300116	0.00116521
1.46	0.29856	0.299724	0.00116369
1.47	0.298168	0.29933	0.00116216
1.48	0.297775	0.298935	0.00116063
1.49	0.29738	0.298539	0.00115909
1.5	0.296985	0.298142	0.00115755
1.51	0.296588	0.297744	0.001156
1.52	0.296191	0.297345	0.00115445
1.53	0.295792	0.296945	0.0011529
1.54	0.295393	0.296544	0.00115134
1.55	0.294992	0.296142	0.00114978
1.56	0.294591	0.295739	0.00114822
1.57	0.294188	0.295335	0.00114665
1.58	0.293785	0.29493	0.00114508
1.59	0.293381	0.294524	0.0011435
1.6	0.292976	0.294118	0.00114192
1.61	0.29257	0.29371	0.00114034
1.62	0.292163	0.293302	0.00113876
1.63	0.291755	0.292893	0.00113717
1.64	0.291347	0.292483	0.00113557
1.65	0.290938	0.292072	0.00113398
1.66	0.290528	0.29166	0.00113238
1.67	0.290117	0.291248	0.00113078
1.68	0.289706	0.290835	0.00112918
1.69	0.289294	0.290422	0.00112757
1.7	0.288881	0.290007	0.00112596
1.71	0.288468	0.289592	0.00112435
1.72	0.288054	0.289177	0.00112274
1.73	0.287639	0.288761	0.00112112
1.74	0.287224	0.288344	0.00111951
1.75	0.286808	0.287926	0.00111788
1.76	0.286392	0.287508	0.00111626
1.77	0.285975	0.28709	0.00111464
1.78	0.285558	0.286671	0.00111301
1.79	0.28514	0.286251	0.00111138
1.8	0.284721	0.285831	0.00110975
1.81	0.284302	0.28541	0.00110812
1.82	0.283883	0.284989	0.00110648
1.83	0.283463	0.284568	0.00110485
1.84	0.283043	0.284146	0.00110321
1.85	0.282622	0.283724	0.00110157
1.86	0.282201	0.283301	0.00109993
1.87	0.28178	0.282878	0.00109828
1.88	0.281358	0.282454	0.00109664
1.89	0.280936	0.282031	0.00109499
1.9	0.280513	0.281606	0.00109335
1.91	0.28009	0.281182	0.0010917
1.92	0.279667	0.280757	0.00109005
1.93	0.279244	0.280332	0.0010884
1.94	0.27882	0.279907	0.00108675
1.95	0.278396	0.279481	0.0010851
1.96	0.277972	0.279055	0.00108344
1.97	0.277548	0.278629	0.00108179
1.98	0.277123	0.278203	0.00108013
1.99	0.276698	0.277777	0.00107848
2	0.276273	0.27735	0.00107682
2.01	0.275848	0.276923	0.00107517
2.02	0.275423	0.276496	0.00107351
