x	RungeKutta4	SoluciónExacta	Error
1	1.71	1.71828	0.00828183
1.01	1.75469	1.76306	0.00836465
1.02	1.80021	1.80866	0.00844747
1.03	1.84657	1.8551	0.00853028
1.04	1.89377	1.90239	0.0086131
1.05	1.94184	1.95053	0.00869592
1.06	1.99077	1.99955	0.00877874
1.07	2.04059	2.04946	0.00886156
1.08	2.09131	2.10025	0.00894437
1.09	2.14293	2.15196	0.00902719
1.1	2.19547	2.20458	0.00911001
1.11	2.24894	2.25814	0.00919283
1.12	2.30336	2.31264	0.00927565
1.13	2.35873	2.36809	0.00935847
1.14	2.41507	2.42452	0.00944128
1.15	2.4724	2.48192	0.0095241
1.16	2.53072	2.54032	0.00960692
1.17	2.59004	2.59973	0.00968974
1.18	2.65039	2.66016	0.00977256
1.19	2.71177	2.72163	0.00985538
1.2	2.7742	2.78414	0.00993819
1.21	2.8377	2.84772	0.010021
1.22	2.90227	2.91237	0.0101038
1.23	2.96793	2.97811	0.0101866
1.24	3.03469	3.04496	0.0102695
1.25	3.10258	3.11293	0.0103523
1.26	3.1716	3.18203	0.0104351
1.27	3.24176	3.25228	0.0105179
1.28	3.3131	3.3237	0.0106007
1.29	3.38561	3.39629	0.0106836
1.3	3.45932	3.47009	0.0107664
1.31	3.53424	3.54509	0.0108492
1.32	3.61038	3.62132	0.010932
1.33	3.68777	3.69879	0.0110148
1.34	3.76642	3.77752	0.0110977
1.35	3.84634	3.85752	0.0111805
1.36	3.92756	3.93882	0.0112633
1.37	4.01008	4.02143	0.0113461
1.38	4.09394	4.10536	0.0114289
1.39	4.17913	4.19064	0.0115117
1.4	4.26569	4.27728	0.0115946
1.41	4.35362	4.3653	0.0116774
1.42	4.44295	4.45471	0.0117602
1.43	4.5337	4.54554	0.011843
1.44	4.62588	4.6378	0.0119258
1.45	4.71951	4.73152	0.0120087
1.46	4.81461	4.8267	0.0120915
1.47	4.9112	4.92338	0.0121743
1.48	5.0093	5.02156	0.0122571
1.49	5.10893	5.12127	0.0123399
1.5	5.21011	5.22253	0.0124227
1.51	5.31286	5.32536	0.0125056
1.52	5.41719	5.42978	0.0125884
1.53	5.52314	5.53581	0.0126712
1.54	5.63072	5.64347	0.012754
1.55	5.73994	5.75278	0.0128368
1.56	5.85084	5.86376	0.0129197
1.57	5.96344	5.97644	0.0130025
1.58	6.07774	6.09083	0.0130853
1.59	6.19379	6.20696	0.0131681
1.6	6.3116	6.32485	0.0132509
1.61	6.43119	6.44453	0.0133337
1.62	6.55259	6.56601	0.0134166
1.63	6.67582	6.68932	0.0134994
1.64	6.8009	6.81448	0.0135822
1.65	6.92785	6.94152	0.013665
1.66	7.05671	7.07046	0.0137478
1.67	7.18749	7.20132	0.0138307
1.68	7.32022	7.33413	0.0139135
1.69	7.45493	7.46892	0.0139963
1.7	7.59163	7.60571	0.0140791
1.71	7.73036	7.74452	0.0141619
1.72	7.87114	7.88539	0.0142447
1.73	8.014	8.02833	0.0143276
1.74	8.15897	8.17338	0.0144104
1.75	8.30606	8.32055	0.0144932
1.76	8.45531	8.46989	0.014576
1.77	8.60675	8.62141	0.0146588
1.78	8.7604	8.77514	0.0147417
1.79	8.9163	8.93112	0.0148245
1.8	9.07446	9.08937	0.0149073
1.81	9.23492	9.24991	0.0149901
1.82	9.39771	9.41278	0.0150729
1.83	9.56286	9.57801	0.0151557
1.84	9.73039	9.74563	0.0152386
1.85	9.90034	9.91567	0.0153214
1.86	10.0727	10.0882	0.0154042
1.87	10.2476	10.2631	0.015487
1.88	10.425	10.4406	0.0155698
1.89	10.605	10.6206	0.0156527
1.9	10.7875	10.8032	0.0157355
1.91	10.9726	10.9884	0.0158183
1.92	11.1603	11.1762	0.0159011
1.93	11.3508	11.3668	0.0159839
1.94	11.5439	11.56	0.0160667
1.95	11.7398	11.7559	0.0161496
1.96	11.9384	11.9547	0.0162324
1.97	12.1399	12.1562	0.0163152
1.98	12.3442	12.3606	0.016398
1.99	12.5514	12.5679	0.0164808
2	12.7615	12.7781	0.0165637
2.01	12.9746	12.9913	0.0166465
2.02	13.1907	13.2074	0.0167293
2.03	13.4098	13.4266	0.0168121
2.04	13.6319	13.6488	0.0168949
2.05	13.8572	13.8742	0.0169777
2.06	14.0856	14.1027	0.0170606
2.07	14.3172	14.3344	0.0171434
2.08	14.5521	14.5693	0.0172262
2.09	14.7902	14.8075	0.017309
2.1	15.0316	15.049	0.0173918
2.11	15.2763	15.2938	0.0174747
2.12	15.5245	15.542	0.0175575
2.13	15.776	15.7937	0.0176403
2.14	16.0311	16.0488	0.0177231
2.15	16.2896	16.3074	0.0178059
2.16	16.5518	16.5697	0.0178888
2.17	16.8175	16.8355	0.0179716
2.18	17.0869	17.1049	0.0180544
2.19	17.36	17.3781	0.0181372
2.2	17.6368	17.655	0.01822
2.21	17.9174	17.9357	0.0183028
2.22	18.2019	18.2203	0.0183857
2.23	18.4902	18.5087	0.0184685
2.24	18.7825	18.8011	0.0185513
2.25	19.0788	19.0974	0.0186341
2.26	19.3791	19.3978	0.0187169
2.27	19.6834	19.7022	0.0187998
2.28	19.9919	20.0108	0.0188826
2.29	20.3046	20.3236	0.0189654
2.3	20.6216	20.6406	0.0190482
2.31	20.9428	20.9619	0.019131
2.32	21.2684	21.2876	0.0192138
2.33	21.5983	21.6176	0.0192967
2.34	21.9327	21.9521	0.0193795
2.35	22.2716	22.2911	0.0194623
2.36	22.6151	22.6346	0.0195451
2.37	22.9632	22.9828	0.0196279
2.38	23.316	23.3357	0.0197108
2.39	23.6735	23.6933	0.0197936
2.4	24.0357	24.0556	0.0198764
2.41	24.4029	24.4228	0.0199592
2.42	24.7749	24.795	0.020042
2.43	25.152	25.1721	0.0201248
2.44	25.534	25.5542	0.0202077
2.45	25.9212	25.9414	0.0202905
2.46	26.3135	26.3338	0.0203733
2.47	26.711	26.7314	0.0204561
2.48	27.1138	27.1343	0.0205389
2.49	27.522	27.5426	0.0206218
2.5	27.9355	27.9562	0.0207046
2.51	28.3546	28.3754	0.0207874
2.52	28.7792	28.8001	0.0208702
2.53	29.2094	29.2304	0.020953
2.54	29.6453	29.6664	0.0210358
2.55	30.087	30.1081	0.0211187
2.56	30.5345	30.5557	0.0212015
2.57	30.9879	31.0092	0.0212843
2.58	31.4472	31.4686	0.0213671
2.59	31.9127	31.9341	0.0214499
2.6	32.3842	32.4057	0.0215328
2.61	32.8619	32.8835	0.0216156
2.62	33.3459	33.3676	0.0216984
2.63	33.8362	33.858	0.0217812
2.64	34.333	34.3549	0.021864
2.65	34.8363	34.8582	0.0219468
2.66	35.3461	35.3681	0.0220297
2.67	35.8626	35.8847	0.0221125
2.68	36.3859	36.4081	0.0221953
2.69	36.9159	36.9382	0.0222781
2.7	37.4529	37.4753	0.0223609
2.71	37.9969	38.0193	0.0224438
2.72	38.5479	38.5705	0.0225266
2.73	39.1062	39.1288	0.0226094
2.74	39.6716	39.6943	0.0226922
2.75	40.2445	40.2672	0.022775
2.76	40.8247	40.8476	0.0228578
2.77	41.4125	41.4354	0.0229407
2.78	42.0079	42.0309	0.0230235
2.79	42.6109	42.634	0.0231063
2.8	43.2218	43.245	0.0231891
2.81	43.8406	43.8639	0.0232719
2.82	44.4674	44.4907	0.0233548
2.83	45.1022	45.1257	0.0234376
2.84	45.7453	45.7688	0.0235204
2.85	46.3966	46.4202	0.0236032
2.86	47.0563	47.08	0.023686
2.87	47.7245	47.7482	0.0237688
2.88	48.4013	48.4251	0.0238517
2.89	49.0867	49.1107	0.0239345
2.9	49.781	49.805	0.0240173
2.91	50.4842	50.5083	0.0241001
2.92	51.1964	51.2206	0.0241829
2.93	51.9177	51.942	0.0242658
2.94	52.6482	52.6726	0.0243486
2.95	53.3881	53.4126	0.0244314
2.96	54.1375	54.162	0.0245142
2.97	54.8964	54.921	0.024597
2.98	55.665	55.6897	0.0246799
2.99	56.4434	56.4682	0.0247627
3	57.2318	57.2566	0.0248455
3.01	58.0301	58.0551	0.0249283
3.02	58.8387	58.8637	0.0250111
3.03	59.6575	59.6826	0.0250939
3.04	60.4868	60.5119	0.0251768
3.05	61.3265	61.3518	0.0252596
3.06	62.177	62.2023	0.0253424
3.07	63.0382	63.0636	0.0254252
3.08	63.9104	63.9359	0.025508
3.09	64.7936	64.8192	0.0255909
3.1	65.688	65.7136	0.0256737
3.11	66.5937	66.6194	0.0257565
3.12	67.5109	67.5367	0.0258393
3.13	68.4396	68.4656	0.0259221
3.14	69.3801	69.4061	0.0260049
3.15	70.3325	70.3586	0.0260878
3.16	71.2969	71.3231	0.0261706
3.17	72.2735	72.2997	0.0262534
3.18	73.2623	73.2887	0.0263362
3.19	74.2637	74.2901	0.026419
